elapsed_s,lat_deg,lon_deg,yaw_rad,speed_mps,depth_m,alt_asf_m
1.045e-06,39,-76.5,0,0,0,60
0.050203245,39,-76.5,0,0,0,60
0.100445515,39,-76.5,0,0,0,60
0.150640624,39.00000002,-76.5,-0.01307823288,0.049955053,0,60
0.200812179,39.00000007,-76.5,-0.02617067835,0.099964394,0,60
0.250979467,39.00000013,-76.50000001,-0.03924959845,0.149922072,0,60
0.301211041,39.00000023,-76.50000001,-0.04346249739,0.199991619,0,60
0.351433042,39.00000034,-76.50000002,-0.04343212345,0.25000763,0,60
0.401606442,39.00000047,-76.50000002,-0.04339422023,0.300028154,0,60
0.451810084,39.00000063,-76.50000003,-0.0433487692,0.349941007,0,60
0.502132672,39.00000081,-76.50000004,-0.04329592631,0.399973081,0,60
0.552344581,39.00000101,-76.50000005,-0.04323545783,0.449932536,0,60
0.602545774,39.00000124,-76.50000007,-0.04316762999,0.499938627,0,60
0.652760606,39.00000148,-76.50000008,-0.04309231156,0.549934224,0,60
0.702973092,39.00000175,-76.5000001,-0.04300962286,0.59998346,0,60
0.753155294,39.00000205,-76.50000011,-0.04291948511,0.64998029,0,60
0.803344475,39.00000236,-76.50000013,-0.04282214268,0.699963849,0,60
0.853510362,39.0000027,-76.50000015,-0.0427175801,0.750000174,0,60
0.903685172,39.00000306,-76.50000017,-0.04260569828,0.79998488,0,60
0.953894665,39.00000344,-76.50000019,-0.04248679516,0.84992603,0,60
1.004091501,39.00000385,-76.50000021,-0.04236093131,0.899973938,0,60
1.054293991,39.00000427,-76.50000023,-0.04222776662,0.949938814,0,60
1.104525146,39.00000472,-76.50000026,-0.04208788297,0.999959605,0,60
1.15471472,39.0000052,-76.50000028,-0.04194095675,1.049940919,0,60
1.204951846,39.00000569,-76.50000031,-0.04178734626,1.099941646,0,60
1.255147,39.00000621,-76.50000034,-0.04162694743,1.149937133,0,60
1.305312217,39.00000675,-76.50000037,-0.04145991885,1.199990553,0,60
1.35547068,39.00000731,-76.50000039,-0.041286118,1.249916559,0,60
1.405640549,39.0000079,-76.50000043,-0.04110630351,1.299940783,0,60
1.455800716,39.0000085,-76.50000046,-0.04091974043,1.349939576,0,60
1.505952813,39.00000913,-76.50000049,-0.0407269787,1.399993667,0,60
1.556114317,39.00000979,-76.50000053,-0.04266318579,1.449934695,0,60
1.60627418,39.00001046,-76.50000056,-0.04266738803,1.499953834,0,60
1.656472857,39.00001116,-76.5000006,-0.04267171993,1.549935414,0,60
1.706647786,39.00001188,-76.50000064,-0.04267616934,1.599934325,0,60
1.756858122,39.00001262,-76.50000068,-0.04268073903,1.649982005,0,60
1.807030738,39.00001339,-76.50000072,-0.04268542999,1.69993932,0,60
1.857259817,39.00001417,-76.50000077,-0.04269022641,1.749924342,0,60
1.907463467,39.00001498,-76.50000081,-0.04269513734,1.799932516,0,60
1.957639191,39.00001582,-76.50000086,-0.04270016002,1.849935956,0,60
2.007822627,39.00001667,-76.5000009,-0.04270528941,1.899941853,0,60
2.058043007,39.00001755,-76.50000095,-0.04270528941,1.949955355,0,60
2.108231336,39.00001845,-76.500001,-0.04271052361,1.999968141,0,60
2.158414014,39.00001937,-76.50000105,-0.0427213704,2.049966032,0,60
2.208573566,39.00002032,-76.5000011,-0.04272690197,2.099998589,0,60
2.258748084,39.00002128,-76.50000116,-0.04273253183,2.14999546,0,60
2.308924163,39.00002227,-76.50000121,-0.04273824945,2.199963589,0,60
2.35908253,39.00002329,-76.50000127,-0.04274405268,2.249946178,0,60
2.409276759,39.00002432,-76.50000132,-0.04274994394,2.299932593,0,60
2.459458169,39.00002538,-76.50000138,-0.04275591927,2.349922234,0,60
2.509629758,39.00002646,-76.50000144,-0.04276197578,2.399941826,0,60
2.559789318,39.00002756,-76.5000015,-0.04276811425,2.449951025,0,60
2.609955787,39.00002869,-76.50000156,-0.04277432674,2.499944279,0,60
2.66012502,39.00002983,-76.50000162,-0.04278060984,2.549958042,0,60
2.710276239,39.000031,-76.50000169,-0.04278696529,2.599940459,0,60
2.760504141,39.0000322,-76.50000175,-0.04279338359,2.649959108,0,60
2.810724513,39.00003341,-76.50000182,-0.0427998708,2.699953558,0,60
2.860967495,39.00003465,-76.50000189,-0.04280641593,2.749931552,0,60
2.911150274,39.00003591,-76.50000196,-0.04281301738,2.799943181,0,60
2.961325455,39.00003719,-76.50000203,-0.04281967871,2.849998973,0,60
3.011480305,39.00003849,-76.5000021,-0.04282639891,2.899951612,0,60
3.061700058,39.00003982,-76.50000217,-0.04283315476,2.949965122,0,60
3.111963429,39.00004117,-76.50000225,-0.04283996599,2.999959919,0,60
3.162182492,39.00004252,-76.50000232,-0.04284681864,3,0,60
3.212341451,39.00004387,-76.5000024,-0.04285360021,3,0,60
3.262562048,39.00004522,-76.50000247,-0.04286031056,3,0,60
3.312812823,39.00004657,-76.50000254,-0.042866956,3,0,60
3.363009098,39.00004792,-76.50000262,-0.04287353339,3,0,60
3.413181179,39.00004927,-76.50000269,-0.0428800288,3,0,60
3.463365643,39.00005062,-76.50000277,-0.04288646183,3,0,60
3.513531544,39.00005197,-76.50000284,-0.04289282159,3,0,60
3.5636933,39.00005332,-76.50000291,-0.04289912609,3,0,60
3.613854354,39.00005467,-76.50000299,-0.04290535485,3,0,60
3.664035326,39.00005602,-76.50000306,-0.04291152568,3,0,60
3.714257514,39.00005737,-76.50000314,-0.04291762804,3,0,60
3.76450205,39.00005872,-76.50000321,-0.04292367084,3,0,60
3.814676967,39.00006007,-76.50000329,-0.04292964466,3,0,60
3.864844533,39.00006142,-76.50000336,-0.04293556169,3,0,60
3.914999942,39.00006412,-76.50000351,-0.04294721479,3,0,60
3.965388254,39.00006547,-76.50000358,-0.04295293379,3,0,60
4.015552828,39.00006682,-76.50000366,-0.04295860763,3,0,60
4.065743878,39.00006817,-76.50000373,-0.04296422417,3,0,60
4.115903428,39.00006952,-76.50000381,-0.04296977322,3,0,60
4.166065538,39.00007087,-76.50000388,-0.04297526903,3,0,60
4.21620108,39.00007222,-76.50000396,-0.04298070144,3,0,60
4.266364376,39.00007357,-76.50000403,-0.04298608336,3,0,60
4.316516882,39.00007492,-76.5000041,-0.04299140323,3,0,60
4.36666889,39.00007627,-76.50000418,-0.04299666955,3,0,60
4.416820013,39.00007762,-76.50000425,-0.0430018836,3,0,60
4.466991208,39.00007897,-76.50000433,-0.0430070404,3,0,60
4.517199011,39.00008032,-76.5000044,-0.04301214442,3,0,60
4.567454211,39.00008167,-76.50000448,-0.04301719449,3,0,60
4.617630366,39.00008302,-76.50000455,-0.04302219322,3,0,60
4.667924868,39.00008437,-76.50000463,-0.04302713682,3,0,60
4.718101133,39.00008572,-76.5000047,-0.0430320332,3,0,60
4.768330609,39.00008707,-76.50000477,-0.043036876,3,0,60
4.818526691,39.00008842,-76.50000485,-0.04304166551,3,0,60
4.868697971,39.00008977,-76.50000492,-0.04304640575,3,0,60
4.918887463,39.00009112,-76.500005,-0.04305109694,3,0,60
4.969059991,39.00009247,-76.50000507,-0.04305573992,3,0,60
5.019254682,39.00009382,-76.50000515,-0.0430603357,3,0,60
5.069461575,39.00009517,-76.50000522,-0.04306488298,3,0,60
5.119665808,39.00009652,-76.5000053,-0.04306937852,3,0,60
5.169841265,39.00009787,-76.50000537,-0.04307382836,3,0,60
5.220046444,39.00009922,-76.50000545,-0.04307823577,3,0,60
5.270279129,39.00010057,-76.50000552,-0.04308259695,3,0,60
5.320530721,39.00010192,-76.50000559,-0.04308690638,3,0,60
5.370775378,39.00010327,-76.50000567,-0.04309118126,3,0,60
5.420979923,39.00010462,-76.50000574,-0.04309539886,3,0,60
5.471168071,39.00010597,-76.50000582,-0.04309957856,3,0,60
5.521364608,39.00010732,-76.50000589,-0.04310371178,3,0,60
5.571541332,39.00010867,-76.50000597,-0.04310779901,3,0,60
5.621708663,39.00011002,-76.50000604,-0.04311184899,3,0,60
5.671884735,39.00011137,-76.50000612,-0.04311585474,3,0,60
5.722021149,39.00011272,-76.50000619,-0.04311982231,3,0,60
5.772178054,39.00011407,-76.50000627,-0.04312374335,3,0,60
5.822417157,39.00011542,-76.50000634,-0.04312762413,3,0,60
5.872641482,39.00011677,-76.50000642,-0.04313146802,3,0,60
5.92281,39.00011812,-76.50000649,-0.04313526711,3,0,60
5.972988057,39.00011947,-76.50000656,-0.04313902876,3,0,60
6.023140322,39.00012082,-76.50000664,-0.04314274904,3,0,60
6.073313808,39.00012217,-76.50000671,-0.04314643563,3,0,60
6.123476241,39.00012352,-76.50000679,-0.04315007601,3,0,60
6.173644165,39.00012487,-76.50000686,-0.04315368289,3,0,60
6.22380466,39.00012622,-76.50000694,-0.04315725097,3,0,60
6.273986357,39.00012757,-76.50000701,-0.0431607818,3,0,60
6.324149011,39.00012892,-76.50000709,-0.0431642761,3,0,60
6.374370551,39.00013027,-76.50000716,-0.04316773262,3,0,60
6.42452675,39.00013162,-76.50000724,-0.04317115392,3,0,60
6.474677554,39.00013297,-76.50000731,-0.0431745401,3,0,60
6.524844112,39.00013431,-76.50000739,-0.04317789014,3,0,60
6.575071536,39.00013567,-76.50000746,-0.04318120341,3,0,60
6.625297631,39.00013701,-76.50000754,-0.04318448382,3,0,60
6.675493376,39.00013837,-76.50000761,-0.04318772937,3,0,60
6.725846411,39.00013971,-76.50000769,-0.04319094191,3,0,60
6.776054827,39.00014106,-76.50000776,-0.043194119,3,0,60
6.82630389,39.00014242,-76.50000784,-0.04319726488,3,0,60
6.876566776,39.00014376,-76.50000791,-0.04320037827,3,0,60
6.926788219,39.00014511,-76.50000798,-0.04320345608,3,0,60
6.977009687,39.00014646,-76.50000806,-0.04320650252,3,0,60
7.027184775,39.00014781,-76.50000813,-0.04320951771,3,0,60
7.077401205,39.00014916,-76.50000821,-0.04321250075,3,0,60
7.127589013,39.00015051,-76.50000828,-0.04321545302,3,0,60
7.177773795,39.00015186,-76.50000836,-0.04321837551,3,0,60
7.227947765,39.00015321,-76.50000843,-0.04322126723,3,0,60
7.278188892,39.00015457,-76.50000851,-0.04322412582,3,0,60
7.328404044,39.00015591,-76.50000858,-0.04322696016,3,0,60
7.378576713,39.00015726,-76.50000866,-0.04322975767,3,0,60
7.428749475,39.00015861,-76.50000873,-0.04323253033,3,0,60
7.4789144,39.00015996,-76.50000881,-0.0432352717,3,0,60
7.529094829,39.00016131,-76.50000888,-0.04323798684,3,0,60
7.579287238,39.00016266,-76.50000896,-0.04324067116,3,0,60
7.62946368,39.00016401,-76.50000903,-0.04324332946,3,0,60
7.679629013,39.00016536,-76.50000911,-0.04324595798,3,0,60
7.7298355,39.00016671,-76.50000918,-0.04324856274,3,0,60
7.780018425,39.00016806,-76.50000926,-0.04325113464,3,0,60
7.830223005,39.00016941,-76.50000933,-0.04325368329,3,0,60
7.880432351,39.00017076,-76.50000941,-0.04325620358,3,0,60
7.930613895,39.00017211,-76.50000948,-0.04325869905,3,0,60
7.980788397,39.00017346,-76.50000956,-0.04326116897,3,0,60
8.030969423,39.00017481,-76.50000963,-0.04326360945,3,0,60
8.081161043,39.00017616,-76.50000971,-0.04326602995,3,0,60
8.131334176,39.00017751,-76.50000978,-0.0432684205,3,0,60
8.181542472,39.00017886,-76.50000986,-0.04327078838,3,0,60
8.231704176,39.00018021,-76.50000993,-0.0432731282,3,0,60
8.281925383,39.00018156,-76.50001001,-0.04327544697,3,0,60
8.332115132,39.00018291,-76.50001008,-0.04327773949,3,0,60
8.382291413,39.00018426,-76.50001016,-0.04328000992,3,0,60
8.432538063,39.00018561,-76.50001023,-0.04328225329,3,0,60
8.482713356,39.00018696,-76.50001031,-0.04328447399,3,0,60
8.532889823,39.00018831,-76.50001038,-0.04328667435,3,0,60
8.58305233,39.00018966,-76.50001046,-0.04328884825,3,0,60
8.633230141,39.00019101,-76.50001053,-0.04329100258,3,0,60
8.683420322,39.00019236,-76.50001061,-0.04329313309,3,0,60
8.733608562,39.00019371,-76.50001068,-0.04329524032,3,0,60
8.783795529,39.00019506,-76.50001076,-0.04329732629,3,0,60
8.833990609,39.00019641,-76.50001083,-0.04329939006,3,0,60
8.884222481,39.00019776,-76.50001091,-0.04330143146,3,0,60
8.934391996,39.00019911,-76.50001098,-0.0433034531,3,0,60
8.984587569,39.00020046,-76.50001106,-0.04330545244,3,0,60
9.034771257,39.00020181,-76.50001113,-0.04330743194,3,0,60
9.084960176,39.00020316,-76.50001121,-0.04330938946,3,0,60
9.135140634,39.00020451,-76.50001128,-0.04331132814,3,0,60
9.185330882,39.00020586,-76.50001136,-0.04331324457,3,0,60
9.235522455,39.00020721,-76.50001143,-0.04331514242,3,0,60
9.285693582,39.00020856,-76.50001151,-0.04331702112,3,0,60
9.335869531,39.00020991,-76.50001158,-0.04331888044,3,0,60
9.386052156,39.00021126,-76.50001165,-0.04332071646,3,0,60
9.436228203,39.00021262,-76.50001173,-0.04332253538,3,0,60
9.486368156,39.00021396,-76.50001181,-0.04332253538,3,0,60
9.536529177,39.00021531,-76.50001188,-0.04332613712,3,0,60
9.586689504,39.00021666,-76.50001196,-0.04332789762,3,0,60
9.636867498,39.00021801,-76.50001203,-0.04332964311,3,0,60
9.687025531,39.00021936,-76.50001211,-0.04333136708,3,0,60
9.737272251,39.00022071,-76.50001218,-0.04333307493,3,0,60
9.787444412,39.00022206,-76.50001226,-0.04333476779,3,0,60
9.837657372,39.00022341,-76.50001233,-0.04333643859,3,0,60
9.887876146,39.00022476,-76.50001241,-0.04333809258,3,0,60
9.938093603,39.00022611,-76.50001248,-0.04333973039,3,0,60
9.988280103,39.00022746,-76.50001256,-0.04334134798,3,0,60
10.03839591,39.00022881,-76.50001263,-0.04334295275,3,0,60
10.08858823,39.00023016,-76.50001271,-0.04334453895,3,0,60
10.13877288,39.00023151,-76.50001278,-0.04334610842,3,0,60
10.18899359,39.00023286,-76.50001286,-0.04334766293,3,0,60
10.23919279,39.00023421,-76.50001293,-0.04334919789,3,0,60
10.28940183,39.00023556,-76.50001301,-0.04335071847,3,0,60
10.33959843,39.00023691,-76.50001308,-0.04335222421,3,0,60
10.38979249,39.00023826,-76.50001316,-0.04335371354,3,0,60
10.43997059,39.00023961,-76.50001323,-0.04335518682,3,0,60
10.49021646,39.00024096,-76.50001331,-0.04335664545,3,0,60
10.54049878,39.00024231,-76.50001338,-0.0433580881,3,0,60
10.59070591,39.00024366,-76.50001346,-0.04335951553,3,0,60
10.64091944,39.00024501,-76.50001353,-0.04336092826,3,0,60
10.69112474,39.00024636,-76.50001361,-0.04336232535,3,0,60
10.74132892,39.00024771,-76.50001368,-0.04336370913,3,0,60
10.79151142,39.00024906,-76.50001376,-0.04336507769,3,0,60
10.84170908,39.00025041,-76.50001383,-0.04336643216,3,0,60
10.89188693,39.00025176,-76.50001391,-0.0433677744,3,0,60
10.94209703,39.00025311,-76.50001398,-0.04336909879,3,0,60
10.99228268,39.00025446,-76.50001406,-0.04337041159,3,0,60
11.04253383,39.00025581,-76.50001413,-0.04337170945,3,0,60
11.09273052,39.00025716,-76.50001421,-0.04337299645,3,0,60
11.1429324,39.00025851,-76.50001428,-0.04337426746,3,0,60
11.19315867,39.00025986,-76.50001436,-0.04337552553,3,0,60
11.24338193,39.00026121,-76.50001443,-0.04337677069,3,0,60
11.29361715,39.00026256,-76.50001451,-0.04337800392,3,0,60
11.3438246,39.00026391,-76.50001458,-0.04337922243,3,0,60
11.39404443,39.00026526,-76.50001466,-0.04338042854,3,0,60
11.4442764,39.00026661,-76.50001473,-0.04338162322,3,0,60
11.49450552,39.00026796,-76.50001481,-0.04338280436,3,0,60
11.54471755,39.00026931,-76.50001488,-0.0433839729,3,0,60
11.59501182,39.00027066,-76.50001496,-0.04338512942,3,0,60
11.6452621,39.00027201,-76.50001503,-0.04338627372,3,0,60
11.69546139,39.00027336,-76.50001511,-0.04338740565,3,0,60
11.74566314,39.00027471,-76.50001518,-0.04338852737,3,0,60
11.7958812,39.00027605,-76.50001526,-0.04338963605,3,0,60
11.84606206,39.00027741,-76.50001533,-0.04339073291,3,0,60
11.89630872,39.00027876,-76.50001541,-0.04339181928,3,0,60
11.94649688,39.00028011,-76.50001548,-0.04339289382,3,0,60
11.99683993,39.00028146,-76.50001556,-0.04339395735,3,0,60
12.04708191,39.0002828,-76.50001563,-0.04339500931,3,0,60
12.09731084,39.00028416,-76.50001571,-0.04339605009,3,0,60
12.14752239,39.0002855,-76.50001578,-0.04339708119,3,0,60
12.19773419,39.00028685,-76.50001586,-0.04339809987,3,0,60
12.24793132,39.0002882,-76.50001593,-0.04339910858,3,0,60
12.29813791,39.00028955,-76.50001601,-0.04340010609,3,0,60
12.34833643,39.0002909,-76.50001608,-0.0434010941,3,0,60
12.39853978,39.00029225,-76.50001616,-0.04340207131,3,0,60
12.44874456,39.0002936,-76.50001623,-0.04340303852,3,0,60
12.49893044,39.00029495,-76.50001631,-0.04340399542,3,0,60
12.54913355,39.0002963,-76.50001638,-0.0434049424,3,0,60
12.5993014,39.00029767,-76.50001646,-0.04340587933,3,0,60
12.64950319,39.000299,-76.50001653,-0.04340681733,3,0,60
12.69972108,39.00030035,-76.50001661,-0.04340772489,3,0,60
12.74995505,39.0003017,-76.50001669,-0.04340863213,3,0,60
12.80011993,39.00030305,-76.50001676,-0.04340953037,3,0,60
12.85036014,39.0003044,-76.50001684,-0.04341041953,3,0,60
12.90055548,39.00030575,-76.50001691,-0.04341129934,3,0,60
12.9507135,39.0003071,-76.50001699,-0.04341217028,3,0,60
13.0008624,39.00030845,-76.50001706,-0.04341303085,3,0,60
13.05103741,39.0003098,-76.50001714,-0.04341388361,3,0,60
13.10120471,39.00031115,-76.50001721,-0.04341472685,3,0,60
13.15145823,39.0003125,-76.50001729,-0.04341556231,3,0,60
13.2016684,39.00031385,-76.50001736,-0.04341638823,3,0,60
13.25184236,39.0003152,-76.50001744,-0.04341720554,3,0,60
13.30204867,39.00031655,-76.50001751,-0.04341801445,3,0,60
13.35225983,39.0003179,-76.50001759,-0.04341881359,3,0,60
13.40244933,39.00031925,-76.50001766,-0.04341960608,3,0,60
13.45261317,39.0003206,-76.50001774,-0.04342038903,3,0,60
13.50279526,39.00032195,-76.50001781,-0.04342116461,3,0,60
13.55299346,39.0003233,-76.50001789,-0.04342193129,3,0,60
13.60321678,39.00032465,-76.50001796,-0.04342269152,3,0,60
13.65344395,39.000326,-76.50001804,-0.04342344215,3,0,60
13.70361171,39.00032735,-76.50001811,-0.04342418543,3,0,60
13.75382357,39.0003287,-76.50001819,-0.04342492133,3,0,60
13.80399251,39.00033005,-76.50001826,-0.04342564916,3,0,60
13.85419567,39.0003314,-76.50001834,-0.04342636916,3,0,60
13.90439906,39.00033275,-76.50001841,-0.04342708167,3,0,60
13.95458602,39.0003341,-76.50001849,-0.04342778725,3,0,60
14.00475758,39.00033545,-76.50001856,-0.04342848485,3,0,60
14.05494823,39.0003368,-76.50001864,-0.04342917491,3,0,60
14.10510832,39.00033815,-76.50001871,-0.04342985839,3,0,60
14.15530965,39.0003395,-76.50001879,-0.0434305343,3,0,60
14.20550112,39.00034085,-76.50001886,-0.04343120423,3,0,60
14.25568486,39.0003422,-76.50001894,-0.04343186602,3,0,60
14.30590036,39.00034355,-76.50001902,-0.04343252081,3,0,60
14.35611271,39.0003449,-76.50001909,-0.04343316955,3,0,60
14.4063081,39.00034625,-76.50001917,-0.04343381101,3,0,60
14.45653952,39.0003476,-76.50001924,-0.04343444598,3,0,60
14.50675185,39.00034895,-76.50001932,-0.0434350736,3,0,60
14.55695516,39.0003503,-76.50001939,-0.0434356954,3,0,60
14.60712292,39.00035165,-76.50001947,-0.04343631027,3,0,60
14.65734146,39.000353,-76.50001954,-0.04343691901,3,0,60
14.70751084,39.00035435,-76.50001962,-0.0434375212,3,0,60
14.75769338,39.0003557,-76.50001969,-0.0434381168,3,0,60
14.8078633,39.00035705,-76.50001977,-0.04343870636,3,0,60
14.85806,39.0003584,-76.50001984,-0.04343929005,3,0,60
14.90823075,39.00035975,-76.50001992,-0.04343986738,3,0,60
14.95844961,39.0003611,-76.50001999,-0.04344043868,3,0,60
15.0086822,39.00036245,-76.50002007,-0.04344100395,3,0,60
15.05894478,39.0003638,-76.50002014,-0.0434415636,3,0,60
15.10915749,39.00036515,-76.50002022,-0.04344211755,3,0,60
15.15935794,39.0003665,-76.50002029,-0.04344266531,3,0,60
15.20953827,39.00036785,-76.50002037,-0.04344320768,3,0,60
15.2597262,39.0003692,-76.50002044,-0.04344374341,3,0,60
15.30991423,39.00037055,-76.50002052,-0.04344427408,3,0,60
15.36007336,39.0003719,-76.50002059,-0.04344479989,3,0,60
15.41022861,39.00037325,-76.50002067,-0.04344531883,3,0,60
15.46041108,39.0003746,-76.50002074,-0.04344583313,3,0,60
15.51059159,39.00037595,-76.50002082,-0.04344634188,3,0,60
15.56079475,39.0003773,-76.5000209,-0.0434468456,3,0,60
15.61098297,39.00037865,-76.50002097,-0.04344734377,3,0,60
15.66118759,39.00038,-76.50002105,-0.04344783707,3,0,60
15.71140752,39.00038135,-76.50002112,-0.04344832488,3,0,60
15.76157768,39.0003827,-76.5000212,-0.04344880751,3,0,60
15.81179459,39.00038405,-76.50002127,-0.04344928524,3,0,60
15.86200192,39.0003854,-76.50002135,-0.0434497586,3,0,60
15.91218743,39.00038675,-76.50002142,-0.04345022584,3,0,60
15.96240645,39.0003881,-76.5000215,-0.0434506886,3,0,60
16.01258013,39.00038945,-76.50002157,-0.04345114657,3,0,60
16.0627819,39.00039079,-76.50002165,-0.04345159995,3,0,60
16.11297981,39.00039214,-76.50002172,-0.04345204826,3,0,60
16.16315526,39.00039349,-76.5000218,-0.04345249198,3,0,60
16.21331736,39.00039484,-76.50002187,-0.04345293125,3,0,60
16.26350847,39.00039619,-76.50002195,-0.04345336573,3,0,60
16.31368443,39.00039755,-76.50002202,-0.04345379571,3,0,60
16.36384466,39.00039889,-76.5000221,-0.04345422155,3,0,60
16.41400739,39.00040024,-76.50002217,-0.04345464213,3,0,60
16.46416538,39.00040159,-76.50002225,-0.04345505878,3,0,60
16.51437434,39.00040294,-76.50002232,-0.04345547102,3,0,60
16.5645367,39.00040429,-76.5000224,-0.04345587904,3,0,60
16.61472603,39.00040564,-76.50002247,-0.04345628266,3,0,60
16.6648987,39.00040834,-76.50002263,-0.04345707746,3,0,60
16.71509784,39.00040969,-76.5000227,-0.04345707746,3,0,60
16.76528811,39.00041104,-76.50002278,-0.04345746872,3,0,60
16.81545492,39.00041239,-76.50002285,-0.04345824707,3,0,60
16.86564755,39.00041374,-76.50002293,-0.04345862583,3,0,60
16.9158067,39.00041509,-76.500023,-0.04345900083,3,0,60
16.96603656,39.00041644,-76.50002308,-0.04345937183,3,0,60
17.0161875,39.00041779,-76.50002315,-0.04345973903,3,0,60
17.06639916,39.00041914,-76.50002323,-0.04346010204,3,0,60
17.11659955,39.00042049,-76.5000233,-0.04346046146,3,0,60
17.16676978,39.00042184,-76.50002338,-0.0434608171,3,0,60
17.21692341,39.00042319,-76.50002345,-0.04346116933,3,0,60
17.26710977,39.00042454,-76.50002353,-0.04346151727,3,0,60
17.31728527,39.00042589,-76.5000236,-0.04346186178,3,0,60
17.36747259,39.00042724,-76.50002368,-0.04346220316,3,0,60
17.41771968,39.00042859,-76.50002375,-0.04346254053,3,0,60
17.46785299,39.00042994,-76.50002383,-0.04346287421,3,0,60
17.51810135,39.00043129,-76.5000239,-0.04346320482,3,0,60
17.56833534,39.00043264,-76.50002398,-0.04346353175,3,0,60
17.61849105,39.00043399,-76.50002405,-0.04346385529,3,0,60
17.66866546,39.00043534,-76.50002413,-0.04346417538,3,0,60
17.71880939,39.00043669,-76.50002421,-0.0434644923,3,0,60
17.76896107,39.00043804,-76.50002428,-0.04346480572,3,0,60
17.81911455,39.00043939,-76.50002436,-0.0434651161,3,0,60
17.86926714,39.00044074,-76.50002443,-0.04346542287,3,0,60
17.91940819,39.00044209,-76.50002451,-0.0434657265,3,0,60
17.96956776,39.00044344,-76.50002458,-0.04346602715,3,0,60
18.01972326,39.00044479,-76.50002466,-0.04346632455,3,0,60
18.06987831,39.00044614,-76.50002473,-0.04346661843,3,0,60
18.12008188,39.00044749,-76.50002481,-0.04346691014,3,0,60
18.17029186,39.00044884,-76.50002488,-0.0434671982,3,0,60
18.22048324,39.00045019,-76.50002496,-0.04346748328,3,0,60
18.27063768,39.00045154,-76.50002503,-0.04346776516,3,0,60
18.32079127,39.00045289,-76.50002511,-0.04346804465,3,0,60
18.37094621,39.00045424,-76.50002518,-0.04346832062,3,0,60
18.4210975,39.00045559,-76.50002526,-0.04346859413,3,0,60
18.47129594,39.00045694,-76.50002533,-0.0434688647,3,0,60
18.52150189,39.00045829,-76.50002541,-0.04346913235,3,0,60
18.57167463,39.00045964,-76.50002548,-0.04346939709,3,0,60
18.62184416,39.00046099,-76.50002556,-0.04346965921,3,0,60
18.67200304,39.00046234,-76.50002563,-0.0434699188,3,0,60
18.72217829,39.00046369,-76.50002571,-0.04347017519,3,0,60
18.77234996,39.00046504,-76.50002579,-0.04347042913,3,0,60
18.82249543,39.00046639,-76.50002586,-0.04347068045,3,0,60
18.87270306,39.00046774,-76.50002594,-0.04347092907,3,0,60
18.92288111,39.00046909,-76.50002601,-0.04347117537,3,0,60
18.97304805,39.00047044,-76.50002609,-0.04347141863,3,0,60
19.02327616,39.00047179,-76.50002616,-0.04347165958,3,0,60
19.07348926,39.00047314,-76.50002624,-0.04347189803,3,0,60
19.12367393,39.00047449,-76.50002631,-0.04347213395,3,0,60
19.17383751,39.00047584,-76.50002639,-0.04347236743,3,0,60
19.22399254,39.00047719,-76.50002646,-0.04347259853,3,0,60
19.27418837,39.00047854,-76.50002654,-0.04347282703,3,0,60
19.32439998,39.00047989,-76.50002661,-0.04347305336,3,0,60
19.37456505,39.00048124,-76.50002669,-0.04347327702,3,0,60
19.42472198,39.00048259,-76.50002676,-0.04347349874,3,0,60
19.47492996,39.00048394,-76.50002684,-0.04347371765,3,0,60
19.57005055,39.00048664,-76.50002699,-0.0434741493,3,0,60
19.62023227,39.00048799,-76.50002706,-0.0434743617,3,0,60
19.67042994,39.00048934,-76.50002714,-0.04347457153,3,0,60
19.72060497,39.00049069,-76.50002722,-0.0434747797,3,0,60
19.77076012,39.00049204,-76.50002729,-0.04347498553,3,0,60
19.8209752,39.00049339,-76.50002737,-0.04347518886,3,0,60
19.87117017,39.00049474,-76.50002744,-0.04347539042,3,0,60
19.92137129,39.00049609,-76.50002752,-0.0434755897,3,0,60
19.97156094,39.00049744,-76.50002759,-0.04347578686,3,0,60
20.02173508,39.00049879,-76.50002767,-0.04347598207,3,0,60
20.07189694,39.00050014,-76.50002774,-0.04347617541,3,0,60
20.12205996,39.00050149,-76.50002782,-0.04347636636,3,0,60
20.17222256,39.00050284,-76.50002789,-0.04347655554,3,0,60
20.22242723,39.00050419,-76.50002797,-0.04347674286,3,0,60
20.2726355,39.00050554,-76.50002804,-0.04347692818,3,0,60
20.32283361,39.00050689,-76.50002812,-0.04347711116,3,0,60
20.37300906,39.00050824,-76.50002819,-0.04347729243,3,0,60
20.42321685,39.00050959,-76.50002827,-0.04347747195,3,0,60
20.47349177,39.00051094,-76.50002834,-0.04347764947,3,0,60
20.5237158,39.00051229,-76.50002842,-0.04347782514,3,0,60
20.57397235,39.00051364,-76.50002849,-0.04347799895,3,0,60
20.62417444,39.00051499,-76.50002857,-0.04347817092,3,0,60
20.67437646,39.00051634,-76.50002864,-0.04347834124,3,0,60
20.72462301,39.00051769,-76.50002872,-0.04347850959,3,0,60
20.77482579,39.00051903,-76.5000288,-0.04347867635,3,0,60
