index,lat_deg,lon_deg,capture_radius_m,arrival_yaw_rad
0,39.00315271,-76.5,12,
1,39.00540461,-76.49711382,12,
2,39.00315257,-76.49422783,12,
3,39.00090074,-76.49711401,12,
4,39.00315271,-76.50057722,12,
