lat_deg,lon_deg
39.00275377,-76.50015344
39.00277177,-76.50015445
39.00278977,-76.50015545
39.00280776,-76.50015645
39.00282576,-76.50015746
39.00284376,-76.50015846
39.00286176,-76.50015947
39.00287976,-76.50016047
39.00289776,-76.50016147
39.00291575,-76.50016248
39.00293375,-76.50016348
39.00295175,-76.50016448
39.00296975,-76.50016536
39.00298771,-76.50016384
39.00300534,-76.50015913
39.00302227,-76.50015132
39.0030382,-76.50014056
39.0030528,-76.50012707
39.00306591,-76.50011125
39.00307865,-76.50009492
39.00309139,-76.5000786
39.00310413,-76.50006227
39.00311686,-76.50004594
39.0031296,-76.50002962
39.00314234,-76.50001329
39.00315271,-76.5
39.00315271,-76.5
39.00316617,-76.49998467
39.00317994,-76.49996978
39.00319371,-76.49995489
39.00320748,-76.49994
39.00322125,-76.49992511
39.00323502,-76.49991022
39.00324879,-76.49989534
39.00326256,-76.49988045
39.00327633,-76.49986556
39.0032901,-76.49985067
39.00330387,-76.49983578
39.00331764,-76.49982089
39.0033314,-76.499806
39.00334517,-76.49979111
39.00335894,-76.49977622
39.00337271,-76.49976133
39.00338648,-76.49974644
39.00340025,-76.49973155
39.00341402,-76.49971667
39.00342779,-76.49970178
39.00344156,-76.49968689
39.00345533,-76.499672
39.0034691,-76.49965711
39.00348286,-76.49964222
39.00349663,-76.49962733
39.0035104,-76.49961244
39.00352417,-76.49959755
39.00353794,-76.49958266
39.00355171,-76.49956777
39.00356548,-76.49955288
39.00357925,-76.49953799
39.00359302,-76.49952311
39.00360679,-76.49950822
39.00362056,-76.49949333
39.00363433,-76.49947844
39.00364809,-76.49946355
39.00366186,-76.49944866
39.00367563,-76.49943377
39.0036894,-76.49941888
39.00370317,-76.49940399
39.00371694,-76.4993891
39.00373071,-76.49937421
39.00374448,-76.49935932
39.00375825,-76.49934443
39.00377202,-76.49932954
39.00378579,-76.49931465
39.00379955,-76.49929977
39.00381332,-76.49928488
39.00382709,-76.49926999
39.00384086,-76.4992551
39.00385463,-76.49924021
39.0038684,-76.49922532
39.00388217,-76.49921043
