lat_deg,lon_deg
39.00405348,-76.4991688
39.00405348,-76.49914571
39.00405348,-76.49912262
39.00405348,-76.49909953
39.00405348,-76.49907644
39.00405348,-76.49905335
39.00405348,-76.49903026
39.00405348,-76.49900717
39.00405348,-76.49898409
39.00405348,-76.498961
39.00405348,-76.49893791
39.00405348,-76.49891482
39.00405348,-76.49889173
39.00405348,-76.49886864
39.00405348,-76.49884555
39.00405348,-76.49882246
39.00405348,-76.49879937
39.00405348,-76.49877628
39.00405348,-76.4987532
39.00405348,-76.49873011
39.00405348,-76.49870702
39.00405348,-76.49868393
39.00405348,-76.49866084
39.00405348,-76.49863775
39.00405348,-76.49861466
39.00405348,-76.49859157
39.00405348,-76.49856848
39.00405348,-76.4985454
39.00405348,-76.49852231
39.00405348,-76.49849922
39.00405348,-76.49847613
39.00405348,-76.49845304
39.00405348,-76.49842995
39.00405348,-76.49840686
39.00405348,-76.49838377
39.00405348,-76.49836068
39.00405348,-76.49833759
39.00405348,-76.49831451
39.00405347,-76.49829142
39.00405347,-76.49826833
