elapsed_s,lat_deg,lon_deg,yaw_rad,speed_mps
4.470892161,39.00007904,-76.5,2.941771672e-12,3
4.521171239,39.00008039,-76.5,-3.945285333e-12,3
4.571422637,39.00008174,-76.5,9.498885933e-13,3
4.621666879,39.0000831,-76.5,-1.338373931e-12,3
4.671878972,39.00008445,-76.5,-4.108631862e-12,3
4.722073187,39.0000858,-76.5,-9.295586432e-12,3
4.772297247,39.00008716,-76.5,-2.57311443e-12,3
4.822571895,39.0000885,-76.5,4.173281669e-12,3
4.872844399,39.00008985,-76.5,2.437461457e-12,3
4.923080548,39.0000912,-76.5,-8.456283185e-12,3
4.973397146,39.00009256,-76.5,-8.613018521e-13,3
5.023607313,39.0000939,-76.5,2.32757917e-12,3
5.073861114,39.00009526,-76.5,-1.927261331e-12,3
5.124169729,39.00009661,-76.5,5.738985995e-12,3
5.174410172,39.00009796,-76.5,-1.668475212e-13,3
5.224636504,39.00009931,-76.5,6.754526193e-13,3
5.27488276,39.00010066,-76.5,5.023142776e-12,3
5.325133929,39.00010201,-76.5,-6.392217537e-12,3
5.375376794,39.00010336,-76.5,-3.151847404e-12,3
5.425637796,39.00010472,-76.5,3.313540998e-12,3
5.475948403,39.00010607,-76.5,1.688133875e-12,3
5.52623921,39.00010742,-76.5,5.747606009e-13,3
5.576524579,39.00010877,-76.5,-5.418060914e-13,3
5.655818395,39.00011148,-76.5,-6.118456456e-13,3
5.70605085,39.00011308,-76.5,-4.89751562e-12,3
5.756289144,39.00011417,-76.5,-4.89751562e-12,3
5.806531642,39.00011553,-76.5,-6.590415885e-12,3
5.856753876,39.00011688,-76.5,-3.288748207e-12,3
5.906964087,39.00011823,-76.5,-1.88765444e-12,3
5.957157877,39.00011958,-76.5,-4.814514262e-12,3
6.007403494,39.00012093,-76.5,3.119170224e-12,3
6.057598389,39.00012228,-76.5,3.354932393e-12,3
6.107794995,39.00012363,-76.5,2.213181963e-12,3
6.158018915,39.00012498,-76.5,-2.254284644e-12,3
6.208353166,39.00012634,-76.5,4.709205351e-13,3
6.258574486,39.00012769,-76.5,7.62444288e-12,3
6.308801123,39.00012904,-76.5,4.38589375e-12,3
6.359003535,39.00013039,-76.5,2.274518405e-13,3
6.409227522,39.00013174,-76.5,-3.87364351e-12,3
6.459479375,39.00013309,-76.5,1.15617399e-12,3
6.509682211,39.00013444,-76.5,6.528826993e-12,3
6.559934095,39.00013579,-76.5,3.546564845e-12,3
6.610136138,39.00013714,-76.5,-1.83545762e-12,3
6.660361662,39.00013849,-76.5,-7.828431644e-13,3
6.710565528,39.00013985,-76.5,-3.706441857e-12,3
6.76076858,39.0001412,-76.5,8.743205146e-13,3
6.811000957,39.00014255,-76.5,-6.004394507e-12,3
6.861248407,39.0001439,-76.5,-8.251377211e-14,3
6.911437328,39.00014525,-76.5,-1.754955828e-13,3
6.961634762,39.0001466,-76.5,6.209471957e-12,3
7.011816741,39.00014795,-76.5,-1.216688625e-12,3
7.062000284,39.0001493,-76.5,4.339260243e-12,3
7.112220159,39.00015065,-76.5,-2.302683672e-12,3
7.162378876,39.00015201,-76.5,5.596510902e-12,3
7.212583179,39.00015336,-76.5,5.71682849e-12,3
7.26277118,39.00015471,-76.5,3.058263082e-12,3
7.312972646,39.00015606,-76.5,3.802499687e-13,3
7.363167885,39.00015741,-76.5,4.51715199e-12,3
7.413358903,39.00015876,-76.5,5.714486913e-12,3
7.463559387,39.00016011,-76.5,-5.547814931e-12,3
7.513782697,39.00016146,-76.5,-1.600853617e-12,3
7.563988795,39.00016282,-76.5,-2.446573346e-12,3
7.614229905,39.00016417,-76.5,-4.294085924e-12,3
7.664517415,39.00016552,-76.5,-5.432854741e-12,3
7.714771157,39.00016687,-76.5,-1.695623494e-12,3
7.764975779,39.00016822,-76.5,-5.018875596e-12,3
7.815163378,39.00016957,-76.5,-1.718656262e-12,3
7.865382203,39.00017092,-76.5,-2.784351884e-12,3
7.91557963,39.00017227,-76.5,-5.726755689e-12,3
7.965884116,39.00017362,-76.5,-5.711374266e-12,3
8.016081898,39.00017498,-76.5,-1.484456708e-12,3
8.066377014,39.00017633,-76.5,-4.685148375e-12,3
8.116618573,39.00017768,-76.5,8.477090499e-12,3
8.166849046,39.00017903,-76.5,-1.945655515e-12,3
8.217064418,39.00018038,-76.5,-3.707519596e-12,3
8.267291729,39.00018173,-76.5,-4.452355603e-13,3
8.317490106,39.00018308,-76.5,7.957628569e-13,3
8.367706941,39.00018443,-76.5,-6.191823169e-12,3
8.417945995,39.00018579,-76.5,-1.068228981e-12,3
8.468170755,39.00018714,-76.5,7.085132593e-13,3
8.51840123,39.00018849,-76.5,-4.395787145e-12,3
8.568626058,39.00018984,-76.5,-1.837226376e-13,3
8.618862067,39.00019119,-76.5,6.45486622e-12,3
8.669103267,39.00019254,-76.5,3.967003281e-12,3
8.719323947,39.00019389,-76.5,2.211955085e-13,3
8.769543105,39.00019524,-76.5,-3.292062471e-12,3
8.819750327,39.00019659,-76.5,-8.024720135e-12,3
8.869970218,39.00019794,-76.5,-3.385161231e-12,3
8.920183077,39.0001993,-76.5,-3.65772775e-12,3
8.970465951,39.00020065,-76.5,-6.68798681e-12,3
9.020670717,39.000202,-76.5,2.050098279e-12,3
9.070917659,39.00020335,-76.5,-1.631756012e-12,3
9.121142579,39.0002047,-76.5,-1.829778181e-12,3
9.171375062,39.00020605,-76.5,-7.772880361e-12,3
9.221636153,39.0002074,-76.5,-1.303093805e-13,3
9.271896084,39.00020875,-76.5,-5.092577244e-12,3
9.322142368,39.00021011,-76.5,-2.40426528e-12,3
9.372350823,39.00021146,-76.5,-2.726111141e-12,3
9.422557538,39.00021281,-76.5,-3.814607557e-12,3
9.472784538,39.00021416,-76.5,1.172709872e-12,3
9.523004408,39.00021551,-76.5,-8.390788336e-13,3
9.573285825,39.00021686,-76.5,-3.582440819e-12,3
9.623498711,39.00021821,-76.5,-4.405327679e-12,3
9.6737502,39.00021956,-76.5,2.262542791e-12,3
9.723993863,39.00022091,-76.5,9.628139154e-12,3
9.774298753,39.00022226,-76.5,1.078291557e-12,3
9.824570485,39.00022362,-76.5,2.703184278e-12,3
9.874895795,39.00022497,-76.5,1.807217452e-12,3
9.925154988,39.00022632,-76.5,-2.103554265e-12,3
9.975434697,39.00022767,-76.5,7.077475066e-12,3
10.02563719,39.00022902,-76.5,3.197623356e-13,3
10.07587726,39.00023037,-76.5,1.852354898e-12,3
10.12610706,39.00023172,-76.5,-7.723522898e-12,3
10.17638685,39.00023307,-76.5,7.884499696e-12,3
10.22659508,39.00023443,-76.5,-2.457428582e-12,3
10.27680986,39.00023578,-76.5,-7.961827962e-13,3
10.32702133,39.00023713,-76.5,1.27258453e-12,3
10.37731719,39.00023848,-76.5,1.982033288e-12,3
10.42753203,39.00023983,-76.5,-1.05188903e-12,3
10.4777785,39.00024118,-76.5,-3.821485547e-12,3
10.52804016,39.00024253,-76.5,3.649837961e-13,3
10.57835619,39.00024389,-76.5,-5.642700585e-13,3
10.62862982,39.00024524,-76.5,-5.642700585e-13,3
10.67883685,39.00024659,-76.5,-2.307473466e-12,3
10.72914002,39.00024794,-76.5,4.671105327e-13,3
10.77939863,39.00024929,-76.5,-1.012048806e-11,3
10.82967242,39.00025064,-76.5,-3.961668709e-12,3
10.8799498,39.00025199,-76.5,4.206532529e-12,3
10.93016083,39.00025334,-76.5,9.852777689e-13,3
10.98043174,39.00025469,-76.5,-1.700131862e-12,3
11.03067978,39.00025605,-76.5,-5.499174361e-12,3
11.080955,39.0002574,-76.5,-3.894228573e-12,3
11.13115596,39.00025875,-76.5,3.919099402e-12,3
11.18138396,39.0002601,-76.5,4.524696804e-12,3
11.2316391,39.00026145,-76.5,-1.065224179e-12,3
11.28193297,39.0002628,-76.5,3.869104824e-12,3
11.33216562,39.00026415,-76.5,-2.939804887e-12,3
11.3824554,39.0002655,-76.5,7.192138101e-12,3
11.43272611,39.00026685,-76.5,-9.98057098e-12,3
11.48294683,39.00026821,-76.5,-8.779417732e-12,3
11.53326288,39.00026956,-76.5,2.68847557e-12,3
11.58352576,39.00027091,-76.5,-2.120343948e-12,3
