lat_deg,lon_deg
39,-76.5
39.00001802,-76.5
39.00003603,-76.5
39.00005405,-76.5
39.00007206,-76.5
39.00009008,-76.5
39.00010809,-76.5
39.00012611,-76.5
39.00014412,-76.5
39.00016214,-76.5
39.00018016,-76.5
39.00019817,-76.5
39.00021619,-76.5
39.0002342,-76.5
39.00025222,-76.5
39.00027023,-76.5
39.00028825,-76.5
39.00030626,-76.5
39.00032428,-76.5
39.00034229,-76.5
39.00036031,-76.5
39.00037833,-76.5
39.00039634,-76.5
39.00041436,-76.5
39.00043237,-76.5
39.00045039,-76.5
39.0004684,-76.5
39.00048642,-76.5
39.00050443,-76.5
39.00052245,-76.5
39.00054047,-76.5
39.00055848,-76.5
39.0005765,-76.5
39.00059451,-76.5
39.00061253,-76.5
39.00063054,-76.5
39.00064856,-76.5
39.00066657,-76.5
39.00068459,-76.5
39.0007026,-76.5
39.00072062,-76.5
39.00073864,-76.5
39.00075665,-76.5
39.00077467,-76.5
39.00079268,-76.5
39.0008107,-76.5
39.00082871,-76.5
39.00084673,-76.5
39.00086474,-76.5
39.00088276,-76.5
39.00090078,-76.5
39.00090078,-76.5
39.00091879,-76.5
39.00093681,-76.5
39.00095482,-76.5
39.00097284,-76.5
39.00099085,-76.5
39.00100887,-76.5
39.00102688,-76.5
39.0010449,-76.5
39.00106291,-76.5
39.00108093,-76.5
39.00109895,-76.5
39.00111696,-76.5
39.00113498,-76.5
39.00115299,-76.5
39.00117101,-76.5
39.00118902,-76.5
39.00120704,-76.5
39.00122505,-76.5
39.00124307,-76.5
39.00126109,-76.5
39.0012791,-76.5
39.00129712,-76.5
39.00131513,-76.5
39.00133315,-76.5
39.00135116,-76.5
39.00136918,-76.5
39.00138719,-76.5
39.00140521,-76.5
39.00142322,-76.5
39.00144124,-76.5
39.00145926,-76.5
39.00147727,-76.5
39.00149529,-76.5
39.0015133,-76.5
39.00153132,-76.5
39.00154933,-76.5
39.00156735,-76.5
39.00158536,-76.5
39.00160338,-76.5
39.0016214,-76.5
39.00163941,-76.5
39.00165743,-76.5
39.00167544,-76.5
39.00169346,-76.5
39.00171147,-76.5
39.00172949,-76.5
39.0017475,-76.5
39.00176552,-76.5
39.00178353,-76.5
39.00180155,-76.5
39.00181957,-76.5
39.00183758,-76.5
39.0018556,-76.5
39.00187361,-76.5
39.00189163,-76.5
39.00190964,-76.5
39.00192766,-76.5
39.00194567,-76.5
39.00196369,-76.5
39.00198171,-76.5
39.00199972,-76.5
39.00201774,-76.5
39.00203575,-76.5
39.00205377,-76.5
39.00207178,-76.5
39.0020898,-76.5
39.00210781,-76.5
39.00212583,-76.5
39.00214384,-76.5
39.00216186,-76.5
39.00217988,-76.5
39.00219789,-76.5
39.00221591,-76.5
39.00223392,-76.5
39.00225194,-76.5
39.00226995,-76.5
39.00228797,-76.5
39.00230598,-76.5
39.002324,-76.5
39.00234202,-76.5
39.00236003,-76.5
39.00237805,-76.5
39.00239606,-76.5
39.00241408,-76.5
39.00243209,-76.5
39.00245011,-76.5
39.00246812,-76.5
39.00248614,-76.5
39.00250415,-76.5
39.00252217,-76.5
39.00254019,-76.5
39.0025582,-76.5
39.00257622,-76.5
39.00259423,-76.5
39.00261225,-76.5
39.00263026,-76.5
39.00264828,-76.5
39.00266629,-76.5
39.00268431,-76.5
39.00270233,-76.5
39.00270233,-76.5
39.00272028,-76.49999839
39.00273789,-76.49999359
39.0027548,-76.4999857
39.0027707,-76.49997487
39.00278529,-76.49996136
39.00279941,-76.49994702
39.00281353,-76.49993268
39.00282765,-76.49991834
39.00284177,-76.499904
39.00285589,-76.49988966
39.00287001,-76.49987532
39.00288413,-76.49986098
39.00289825,-76.49984664
39.00291236,-76.49983229
39.00292555,-76.49981659
39.0029369,-76.49979869
39.0029462,-76.49977894
39.00295327,-76.49975772
39.00295796,-76.49973544
39.00296019,-76.49971255
39.00295991,-76.49968948
39.00295712,-76.49966669
39.00295189,-76.49964462
39.00294432,-76.49962369
39.00293454,-76.49960432
39.00292276,-76.49958688
39.00290919,-76.49957171
39.00289412,-76.49955911
39.00287781,-76.49954932
39.00286061,-76.49954254
39.00284284,-76.49953889
39.00282484,-76.49953823
39.00280682,-76.49953823
39.00278881,-76.49953823
39.00277079,-76.49953823
39.00275277,-76.49953823
39.00273476,-76.49953823
39.00271674,-76.49953823
39.00270232,-76.49953823
39.00270232,-76.49953823
39.00268431,-76.49953823
39.00266629,-76.49953823
39.00264828,-76.49953823
39.00263026,-76.49953823
39.00261225,-76.49953823
39.00259423,-76.49953823
39.00257622,-76.49953823
39.0025582,-76.49953823
39.00254018,-76.49953823
39.00252217,-76.49953823
39.00250415,-76.49953823
39.00248614,-76.49953823
39.00246812,-76.49953823
39.00245011,-76.49953823
39.00243209,-76.49953823
39.00241408,-76.49953823
39.00239606,-76.49953823
39.00237805,-76.49953823
39.00236003,-76.49953823
39.00234201,-76.49953823
39.002324,-76.49953823
39.00230598,-76.49953823
39.00228797,-76.49953823
39.00226995,-76.49953823
39.00225194,-76.49953823
39.00223392,-76.49953823
39.00221591,-76.49953823
39.00219789,-76.49953823
39.00217987,-76.49953823
39.00216186,-76.49953823
39.00214384,-76.49953823
39.00212583,-76.49953823
39.00210781,-76.49953823
39.0020898,-76.49953823
39.00207178,-76.49953823
39.00205377,-76.49953823
39.00203575,-76.49953823
39.00201774,-76.49953823
39.00199972,-76.49953823
39.0019817,-76.49953823
39.00196369,-76.49953823
39.00194567,-76.49953823
39.00192766,-76.49953823
39.00190964,-76.49953823
39.00189163,-76.49953823
39.00187361,-76.49953823
39.0018556,-76.49953823
39.00183758,-76.49953824
39.00181956,-76.49953824
39.00180155,-76.49953824
39.00178353,-76.49953824
39.00176552,-76.49953824
39.0017475,-76.49953824
39.00172949,-76.49953824
39.00171147,-76.49953824
39.00169346,-76.49953824
39.00167544,-76.49953824
39.00165743,-76.49953824
39.00163941,-76.49953824
39.00162139,-76.49953824
39.00160338,-76.49953824
39.00158536,-76.49953824
39.00156735,-76.49953824
39.00154933,-76.49953824
39.00153132,-76.49953824
39.0015133,-76.49953824
39.00149529,-76.49953824
39.00147727,-76.49953824
39.00145925,-76.49953824
39.00144124,-76.49953824
39.00142322,-76.49953824
39.00140521,-76.49953824
39.00138719,-76.49953824
39.00136918,-76.49953824
39.00135116,-76.49953824
39.00133315,-76.49953824
39.00131513,-76.49953824
39.00129712,-76.49953824
39.0012791,-76.49953824
39.00126108,-76.49953824
39.00124307,-76.49953824
39.00122505,-76.49953824
39.00120704,-76.49953824
39.00118902,-76.49953824
39.00117101,-76.49953824
39.00115299,-76.49953824
39.00113498,-76.49953824
39.00111696,-76.49953824
39.00109894,-76.49953824
39.00108093,-76.49953824
