index,lat_deg,lon_deg,capture_radius_m,arrival_yaw_rad
0,39.00090078,-76.5,5,0
1,39.00270233,-76.5,5,0
2,39.00270233,-76.49988456,5,3.141592654
3,39.00090078,-76.49988456,5,3.141592654
4,39.00090077,-76.49976912,5,0
5,39.00270232,-76.49976911,5,0
6,39.00270232,-76.49965367,5,3.141592654
7,39.00090077,-76.49965368,5,3.141592654
