elapsed_s,lat_deg,lon_deg,yaw_rad,speed_mps,depth_m,alt_asf_m
8.18e-07,39,-76.5,0,0,0,60
0.050159779,39,-76.5,0,0,0,60
0.10039581,39,-76.5,0,0,0,60
0.150610181,39.00000002,-76.5,6.235012506e-13,0.049965258,0,60
0.200801455,39.00000007,-76.5,-4.644393594e-12,0.099999085,0,60
0.250954043,39.00000014,-76.5,3.016757261e-12,0.149982259,0,60
0.301194268,39.00000023,-76.5,-9.444852008e-13,0.19997173,0,60
0.351404651,39.00000034,-76.5,1.577099097e-12,0.250017334,0,60
0.401642037,39.00000047,-76.5,-1.29775439e-11,0.299983181,0,60
0.451912718,39.00000063,-76.5,6.965922265e-12,0.350045347,0,60
0.502133778,39.00000081,-76.5,-6.61484067e-12,0.40000113,0,60
0.552305945,39.00000101,-76.5,-4.221668534e-12,0.449976527,0,60
0.6025363,39.00000124,-76.5,-7.626057556e-12,0.499978749,0,60
0.652721707,39.00000149,-76.5,1.033073021e-12,0.549966221,0,60
0.702918403,39.00000176,-76.5,-8.48459985e-13,0.600067462,0,60
0.753106774,39.00000205,-76.5,1.148139872e-11,0.649981009,0,60
0.803357014,39.00000236,-76.5,-2.610711335e-12,0.699980483,0,60
0.853540574,39.0000027,-76.5,3.444591608e-13,0.749966079,0,60
0.903694161,39.00000306,-76.5,-5.924820696e-12,0.799977011,0,60
0.953861553,39.00000345,-76.5,-8.589580087e-12,0.849982431,0,60
1.004021383,39.00000385,-76.5,-5.744269923e-12,0.900000813,0,60
1.054220502,39.00000428,-76.5,-1.164446942e-11,0.949959082,0,60
1.104407714,39.00000473,-76.5,1.105690885e-11,0.999995727,0,60
1.154631195,39.0000052,-76.5,-1.022395179e-11,1.050020509,0,60
1.204814596,39.0000057,-76.5,7.860883624e-12,1.099966454,0,60
1.25499947,39.00000621,-76.5,-5.037335357e-12,1.14996378,0,60
1.305171627,39.00000676,-76.5,-3.636558311e-12,1.199957579,0,60
1.355340607,39.00000732,-76.5,-1.305334544e-11,1.249952802,0,60
1.405515643,39.0000079,-76.5,-2.029680418e-12,1.299945544,0,60
1.455699571,39.00000851,-76.5,1.710224668e-12,1.349952297,0,60
1.505975225,39.00000914,-76.5,1.623247002e-12,1.399952461,0,60
1.556160588,39.0000098,-76.5,-1.189156674e-12,1.449956436,0,60
1.606328494,39.00001047,-76.5,-9.078762962e-12,1.49994904,0,60
1.656498811,39.00001117,-76.5,-1.455404983e-11,1.549953843,0,60
1.706684691,39.00001189,-76.5,-7.049849794e-12,1.599949754,0,60
1.756883041,39.00001263,-76.5,-1.085344111e-11,1.649969353,0,60
1.807055712,39.0000134,-76.5,-4.282748185e-12,1.699952668,0,60
1.857243297,39.00001419,-76.5,-2.685296924e-12,1.749960993,0,60
1.907422881,39.000015,-76.5,9.248849112e-12,1.799961919,0,60
1.957635587,39.00001583,-76.5,-9.660032877e-12,1.849988407,0,60
2.007817986,39.00001669,-76.5,5.484403537e-12,1.899954505,0,60
2.058043508,39.00001757,-76.5,6.338808891e-13,1.94999957,0,60
2.108244497,39.00001847,-76.5,-4.252164547e-12,1.999971056,0,60
2.158419854,39.00001939,-76.5,2.821100699e-12,2.049962602,0,60
2.208599129,39.00002033,-76.5,6.851451006e-13,2.099952469,0,60
2.258800313,39.0000213,-76.5,9.086684279e-13,2.149971035,0,60
2.30906369,39.00002229,-76.5,3.160569449e-12,2.199951587,0,60
2.359233182,39.00002331,-76.5,-1.121445822e-12,2.249955114,0,60
2.409415031,39.00002434,-76.5,1.736325716e-12,2.29994471,0,60
2.459612173,39.0000254,-76.5,2.236341927e-12,2.349953314,0,60
2.509800889,39.00002649,-76.5,-1.070780982e-12,2.400101083,0,60
2.559974947,39.00002759,-76.5,-1.070780982e-12,2.450021339,0,60
2.61021996,39.00002871,-76.5,-2.526051454e-12,2.499952285,0,60
2.660461391,39.00002986,-76.5,-5.030431485e-12,2.54995879,0,60
2.710658264,39.00003103,-76.5,4.34966783e-12,2.599945826,0,60
2.760827376,39.00003222,-76.5,-2.517310641e-12,2.649954169,0,60
2.810989362,39.00003344,-76.5,-1.339971984e-11,2.699969052,0,60
2.861162359,39.00003468,-76.5,6.887409703e-12,2.74995753,0,60
2.911329516,39.00003594,-76.5,-1.357293913e-11,2.799952711,0,60
2.961541569,39.00003723,-76.5,-1.141549188e-11,2.850075912,0,60
3.011717376,39.00003853,-76.5,-1.313242357e-11,2.899960923,0,60
3.061905523,39.00003986,-76.5,-9.058455621e-12,2.949967008,0,60
3.112096,39.00004121,-76.5,-1.222404059e-11,3,0,60
3.162276595,39.00004256,-76.5,3.553914203e-12,3,0,60
3.212450731,39.00004391,-76.5,6.862153863e-12,3,0,60
3.262695516,39.00004526,-76.5,-1.154228903e-11,3,0,60
3.312957472,39.00004662,-76.5,3.259590381e-13,3,0,60
3.363192594,39.00004797,-76.5,-1.066805823e-11,3,0,60
3.413425083,39.00004932,-76.5,-6.307981387e-12,3,0,60
3.463633226,39.00005067,-76.5,-1.921030513e-12,3,0,60
3.513847524,39.00005202,-76.5,2.432875349e-12,3,0,60
3.564045343,39.00005337,-76.5,-1.116197138e-12,3,0,60
3.614233768,39.00005472,-76.5,6.924615876e-13,3,0,60
3.664449635,39.00005607,-76.5,-5.051579e-12,3,0,60
3.714633466,39.00005742,-76.5,6.599584926e-12,3,0,60
3.764813848,39.00005877,-76.5,1.575936558e-12,3,0,60
3.814991933,39.00006013,-76.5,-8.899494126e-12,3,0,60
3.865186032,39.00006148,-76.5,-1.036077051e-11,3,0,60
3.915383992,39.00006283,-76.5,-1.020100628e-11,3,0,60
3.965566912,39.00006418,-76.5,-2.743724093e-12,3,0,60
4.015741078,39.00006553,-76.5,7.265031899e-13,3,0,60
4.065947671,39.00006688,-76.5,7.820459927e-12,3,0,60
4.116123675,39.00006823,-76.5,-3.740379735e-12,3,0,60
4.166307343,39.00006958,-76.5,8.527087637e-12,3,0,60
4.216512826,39.00007094,-76.5,-1.349759813e-11,3,0,60
4.266700409,39.00007229,-76.5,2.521459913e-13,3,0,60
4.316894359,39.00007364,-76.5,-2.662256789e-12,3,0,60
4.367085893,39.00007499,-76.5,-1.054380344e-11,3,0,60
4.41727442,39.00007634,-76.5,-9.119077766e-12,3,0,60
4.467441906,39.00007769,-76.5,2.316663083e-12,3,0,60
4.517630628,39.00007904,-76.5,4.214263248e-12,3,0,60
4.567840384,39.00008039,-76.5,-8.046021183e-12,3,0,60
4.618030332,39.00008175,-76.5,6.948152761e-12,3,0,60
4.668284362,39.0000831,-76.5,-1.125845334e-12,3,0,60
4.718503238,39.00008445,-76.5,1.825002628e-16,3,0,60
4.768695782,39.0000858,-76.5,-1.041692499e-11,3,0,60
4.818890824,39.00008715,-76.5,3.758087804e-12,3,0,60
4.869114627,39.0000885,-76.5,2.316111037e-12,3,0,60
4.919290642,39.00008985,-76.5,-5.17409409e-12,3,0,60
4.969510334,39.0000912,-76.5,-6.215056274e-12,3,0,60
5.019719964,39.00009255,-76.5,-2.593966818e-12,3,0,60
5.069990954,39.0000939,-76.5,-1.005000815e-11,3,0,60
5.120206789,39.00009526,-76.5,3.397819207e-12,3,0,60
5.170427233,39.00009661,-76.5,-3.44244546e-12,3,0,60
5.220624794,39.00009796,-76.5,9.557937989e-13,3,0,60
5.270820461,39.00009931,-76.5,-2.516707943e-12,3,0,60
5.32104964,39.00010066,-76.5,6.527592242e-12,3,0,60
5.371261149,39.00010201,-76.5,-1.33782416e-11,3,0,60
5.421435212,39.00010336,-76.5,-2.82414741e-12,3,0,60
5.471718861,39.00010471,-76.5,-5.512719365e-12,3,0,60
5.521899663,39.00010607,-76.5,-2.952391459e-12,3,0,60
